Service_Name,Service_URL,Main_Services,Other_Services,Serving,Phone_Number,Website,Location_Address,Location_URL_Map,Eligibility,Availability,Description,Languages,Cost,Google_Review,Facebook_URL,Twitter_URL,Coverage,Latitude,Longitude,Zipcode,24hour,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Google_Rating,Service_type
Fresh Produce (Sanctuary Farm),https://www.auntbertha.com//sanctuary-farm--philadelphia-pa--fresh-produce/5307426591604736?postal=19113,['food pantry'],['food pantry'],"['anyone in need', 'all ages', 'individuals', 'families']",267-703-0194,https://www.sanctuaryfarmphila.org/,"1622 North 22nd Street, Philadelphia, PA 19121","https://www.google.com/maps/?q=1622+North+22nd+Street,+Philadelphia,+PA+19121/",['Anyone can access this program.'],available,Sanctuary Farm provides free organic vegetables and produce to community members. This program provides:- Free produce The farm stand is open on Tuesdays and Thursdays at 1622 North 22nd St. and Saturdays at 2337 West Berks St.,['English'],Free,Yes,https://www.facebook.com/SanctuaryFarmPhila/,None,"This program covers residents of the following cities: Philadelphia, PA.",39.9801781,-75.171171,19121,No,Closed,9:00AM - 12:00PM,Closed,9:00AM - 12:00PM,Closed,Closed,Closed,0,Food
Food Pantry (New Testament Church of God - Community Outreach Mission),https://www.auntbertha.com//new-testament-church-of-god---community-outreach-mission--philadelphia-pa--food-pantry/6265791971065856?postal=19113,"['food pantry', 'clothing', 'personal care items', 'supplies for school']","['food pantry', 'clothing', 'personal care items', 'supplies for school']","['anyone in need', 'all ages', 'individuals', 'families']",215-472-6630,https://www.poyserwaycog.com/community-outreach,"935 South 53rd Street, Philadelphia, PA 19143","https://www.google.com/maps/?q=935+South+53rd+Street,+Philadelphia,+PA+19143/",['Anyone can access this program.'],available,"The Community Outreach Mission provides basic items to families with children from our surrounding areas. Some of our focus areas are senior citizens, pregnant mothers, school age children, youths, individuals with disabilities, and underprivileged families as a whole.This program provides:- Food to meet basic nutritional needs - School supplies- Clothing- Toiletries- Additional services as neededThe food pantry is open every Saturday at 12pm and on Sundays post-service.",['English'],Free,Yes,None,None,"This program covers residents of the following counties: Delaware County, PA and Philadelphia County, PA.",39.9456921,-75.227192,19143,No,Closed,Closed,Closed,Closed,Closed,12:00PM - 2:00PM,Closed,4.5,Food
Food Pantry (Berean Presbyterian Care Closet),https://www.auntbertha.com//berean-presbyterian-care-closet--philadelphia-pa--food-pantry/5999092540112896?postal=19113,['food pantry'],['food pantry'],"['anyone in need', 'all ages']",215-235-1999,https://www.bereanpresbyterian.org/ministries-1,"2101 North Broad Street, Philadelphia, PA 19122","https://www.google.com/maps/?q=2101+North+Broad+Street,+Philadelphia,+PA+19122/",['Anyone can access this program.'],available,"The Berean Presbyterian Care Closet food pantry serves everyone from low income families, single parents, senior citizens, unemployed individuals, disabled veterans, working poor, and anyone else that comes to the pantry.This program provides:- Food to meet basic nutritional needsFood can be picked up once every two weeks.",['English'],Free,Yes,https://www.facebook.com/pages/Berean-Presbyterian-Church-USA/198344380210753,None,"This program covers residents of the following cities: Philadelphia, PA.",39.984874,-75.156083,19122,No,Closed,Closed,11:00AM - 1:00PM,Closed,11:00AM - 1:00PM,Closed,Closed,0,Food
Food Pantry (Community of Compassion CDC),https://www.auntbertha.com//community-of-compassion-cdc--philadelphia-pa--food-pantry/6260879273361408?postal=19113,"['emergency food', 'food pantry']","['emergency food', 'food pantry']","['anyone in need', 'all ages', 'individuals', 'families']",267-767-1216,https://www.communityofcompassioncdc.com/,"6150 Cedar Avenue, Philadelphia, PA 19143","https://www.google.com/maps/?q=6150+Cedar+Avenue,+Philadelphia,+PA+19143/",['Anyone can access this program.'],available,The Community of Compassion CDC Food Pantry provides quality food items to households experiencing food insecurity. This program supplies critical nutrition to hungry individuals and families. This program provides:- Food to meet basic nutritional needs,['English'],Free,Yes,https://www.facebook.com/communityofcompassioncdc,None,"This program covers residents of the following cities: Philadelphia, PA.",39.9527118,-75.246591,19143,No,8:00 - 11:00AM,Closed,8:00 - 11:00AM,Closed,Closed,Closed,Closed,4.5,Food
Food Pantry (Lutheran Settlement House),https://www.auntbertha.com//lutheran-settlement-house--philadelphia-pa--food-pantry/5347200206372864?postal=19113,['food pantry'],['food pantry'],"['anyone in need', 'all ages', 'individuals', 'families']",215-426-8610,https://www.lutheransettlement.org/lsh-programs/pantry/,"1340 Frankford Avenue, Philadelphia, PA 19125","https://www.google.com/maps/?q=1340+Frankford+Avenue,+Philadelphia,+PA+19125/",['Anyone can access this program.'],available,"The Lutheran Settlement House helps alleviate hunger in the community by providing a food pantry. This food pantry supplies healthy food options to anyone. 

This program provides:

- Food to meet basic nutritional needs

All ages are welcome and no referrals, income information, or residential information are required. Participants may get food once a week. Participants should sign in at the front desk and bring their own bag.","['English', 'Interpretation Services Available', 'Spanish']",Free,Yes,https://www.facebook.com/LutheranSettlementHouse,https://www.twitter.com/@LSHphilly,"This program covers residents of the following cities: Philadelphia, PA.",39.9714613,-75.134677,19125,No,9:00AM - 3:00PM,9:00AM - 3:00PM,9:00AM - 3:00PM,9:00AM - 3:00PM,9:00AM - 3:00PM,Closed,Closed,3.3,Food
"Food Drive Give Away (Institute for the Development of African-American Youth, Inc. (IDAAY))",https://www.auntbertha.com//institute-for-the-development-of-african-american-youth%252C-inc.-%2528idaay%2529--philadelphia-pa--food-drive-give-away/5641437706321920?postal=19113,['food pantry'],"['help pay for transit', 'transportation']","['anyone in need', 'all ages', 'individuals', 'families']",215-235-9110,https://idaay.org/events/pick-up-a-free-box-of-fresh-food-every-saturday-bi-weekly,"2305 North Broad Street, Philadelphia, PA 19132","https://www.google.com/maps/?q=2305+North+Broad+Street,+Philadelphia,+PA+19132/",['Must live in Philadelphia.'],available,"Institute for the Development of African-American Youth, Inc. (IDAAY) provides a Food Drive Give Away for individuals experiencing food insecurity who are living in Philadelphia, PAThis program provides:- Food to meet nutritional needsFood is distributed on a first come, first serve basis.",['English'],Free,Yes,https://www.facebook.com/idaayinc,https://www.twitter.com/@idaayinc,"This program covers residents of the following cities: Philadelphia, PA.",39.9880215,-75.155124,19132,No,Closed,Closed,Closed,Closed,Closed,10:00AM - 12:00PM,Closed,4.9,Food
Feeding Ministry (Willow Grove Seventh-day Adventist Church),https://www.auntbertha.com//willow-grove-seventh-day-adventist-church--philadelphia-pa--feeding-ministry/5178565305827328?postal=19126,['food pantry'],['food pantry'],"['anyone in need', 'all ages', 'individuals', 'families']",215-657-8364,https://willowgroveadventist.org/feeding/,"4355 Paul Street, Philadelphia, PA 19124","https://www.google.com/maps/?q=4355+Paul+Street,+Philadelphia,+PA+19124/",['Anyone can access this program.'],available,Willow Grove Seventh-day Adventist Church engages in outreach each month by feeding those less fortunate out of our sister churchâ€™s site. Services include:- Food to meet basic nutritional needs,['English'],Free,Yes,None,None,"This program covers residents of the following counties: Montgomery County, PA and Philadelphia County, PA.",40.0116705,-75.085981,19124,No,9:00AM - 2:00PM,9:00AM - 2:00PM,9:00AM - 2:00PM,Closed,Closed,Closed,Closed,4.7,Food
Manna Pantry (Bethel Temple Community Bible Church),https://www.auntbertha.com//bethel-temple-community-bible-church--philadelphia-pa--manna-pantry/6321681709400064?postal=19126,['food pantry'],['food pantry'],"['anyone in need', 'all ages', 'individuals', 'families']",215-423-0986,https://www.betheltemplechurch.net/mannapantry,"228 East Allegheny Avenue, Philadelphia, PA 19134","https://www.google.com/maps/?q=228+East+Allegheny+Avenue,+Philadelphia,+PA+19134/",['Anyone can access this program.'],available,Manna Pantry serves the community by providing food and resources for those in need. This program supplies critical nutrition to hungry individuals and families. This program provides:- Food to meet basic nutritional needs,['English'],Free,Yes,https://www.facebook.com/betheltemplecbc/,None,"This program covers residents of the following cities: Philadelphia, PA.",39.9978125,-75.126307,19134,No,Closed,Closed,Closed,5:00PM - 6:00PM,Closed,Closed,Closed,4.9,Food
Grab and Go Meals (Old Pine Community Center),https://www.auntbertha.com//old-pine-community-center-%2528opcc%2529--philadelphia-pa--grab-and-go-meals/5481658659373056?postal=19126,"['emergency food', 'food pantry']","['emergency food', 'food pantry']","['anyone in need', 'all ages', 'individuals', 'families']",215-627-2493,https://oldpinecommunitycenter.org/programs-services/#food,"401 Lombard Street, Philadelphia, PA 19147","https://www.google.com/maps/?q=401+Lombard+Street,+Philadelphia,+PA+19147/",['Anyone can access this service.'],available,The Old Pine Community Center provides Grab and Go Meals to those who need them. They supply critical nutrition to hungry individuals.This program provides:- Meals to meet basic nutritional needs,['English'],Free,Yes,https://www.facebook.com/OldPineCommunityCenter/,None,"This program covers residents of the following cities: Philadelphia, PA.",39.9430393,-75.149523,19147,No,Closed,Closed,Closed,Closed,Closed,10:00AM - 12:00PM,10:00AM - 12:00PM,4.6,Food
Food Ministry (Faith Assembly Of God),https://www.auntbertha.com//faith-assembly-of-god--philadelphia-pa--food-ministry/5684138886299648?postal=19126,['food pantry'],['food pantry'],"['anyone in need', 'all ages', 'individuals', 'families']",712-432-3900,https://www.faithphilly.org/,"1926 Margaret Street, Philadelphia, PA 19124","https://www.google.com/maps/?q=1926+Margaret+Street,+Philadelphia,+PA+19124/",['Anyone in need can access this program.'],available,The Faith Assembly Of God - Food Ministry provides quality food items to households experiencing food insecurity. This program supplies critical nutrition to hungry individuals and families.This program provides:- Food to meet basic nutritional needs,['English'],Free,Yes,None,None,"This program covers residents of the following cities: Philadelphia, PA.",40.0129458,-75.077769,19124,No,11:00AM - 4:00PM,11:00AM - 4:00PM,11:00AM - 4:00PM,11:00AM - 4:00PM,11:00AM - 4:00PM,Closed,Closed,4.6,Food
Food Pantry (Philadelphia Episcopal Cathedral),https://www.auntbertha.com//philadelphia-episcopal-cathedral--philadelphia-pa--food-pantry/6313144792907776?postal=19126,['food pantry'],['food pantry'],"['anyone in need', 'all ages', 'individuals', 'families', 'undocumented']",215-386-0234,http://www.philadelphiacathedral.org/service,"19 South 38th Street, Philadelphia, PA 19104","https://www.google.com/maps/?q=19+South+38th+Street,+Philadelphia,+PA+19104/",['Anyone can access this program.'],available,"The food pantry provides quality food items to households experiencing food insecurity. This program supplies critical nutrition to hungry individuals and families. 

This program provides:

- Food to meet basic nutritional needs",['English'],Free,Yes,https://www.facebook.com/philadelphiaepiscopalcathedral/,None,"This program covers residents of the following counties: Philadelphia County, PA.",39.9524775,-75.198927,19104,No,9:30 - 11:00AM,Closed,Closed,Closed,Closed,Closed,Closed,4.8,Food
Vivian's Cupboard Food Bank (Mazzoni Center),https://www.auntbertha.com//mazzoni-center--philadelphia-pa--vivian%2527s-cupboard-food-bank/5915050476830720?postal=19126,['food pantry'],['food pantry'],"['all ages', 'hiv/aids', 'individuals', 'families', 'dependents']",215-563-0652,https://www.mazzonicenter.org/hiv-prevention-care/hiv-care/vivian%E2%80%99s-cupboard-food-bank,"1348 Bainbridge Street, Philadelphia, PA 19147","https://www.google.com/maps/?q=1348+Bainbridge+Street,+Philadelphia,+PA+19147/","['Must meet income requirements.', 'This program serves HIV-positive individuals and their dependent members of their household.', 'Must be Ryan White certified.', 'Must have referral from HIV case manager or medical provider.', 'Must live in Philadelphia, Delaware, Chester or Bucks counties in PA.']",available,"The Mazzoni Center provides the Vivianâ€™s Cupboard Food Bank for low-income, HIV-positive Philadelphians who are facing food insecurity. The food bank aims to help clients and patients maintain optimal health and improve the efficacy of treatment regimens by providing them with a consistent, nutritious supply of food. This program provides:- Nutritious food The food bank allows clients to select packaged food items in a pantry-style setting. Clients are provided with additional resources such as information on other local/neighborhood food cupboards and information on accessing SNAP (food stamps).Referred individuals may access the food bank two times per month and receive the equivalent of four meals for each member of their household at each visit. Due to the COVID-19 pandemic, the Mazzoni Center has suspended the requirement that individuals need to be referred by a case manager or medical provider and have opened the food bank up to anyone in the community struggling with food insecurity.",['English'],Free,Yes,https://www.facebook.com/MazzoniCenter,https://www.twitter.com/@MazzoniCenter,"This program covers residents of the following cities: Philadelphia, PA.",39.9426271,-75.165083,19147,No,9:30AM - 4:30PM,12:00 - 12:00AM,9:30AM - 4:30PM,9:30AM - 4:30PM,9:30AM - 4:30PM,Closed,Closed,4.6,Food
"Grocery, Clothing, and Book Give A Way (Ujima Friends Peace Center)",https://www.auntbertha.com//ujima-friends-peace-center--philadelphia-pa--grocery%252C-clothing%252C-and-book-give-a-way/5148792120410112?postal=19126,"['food pantry', 'clothing', 'books']","['food pantry', 'clothing', 'books']","['anyone in need', 'all ages']",267-761-4944,http://www.ujimafriends.org/food-give-away-2022/,"1701 West Lehigh Avenue, Philadelphia, PA 19132","https://www.google.com/maps/?q=1701+West+Lehigh+Avenue,+Philadelphia,+PA+19132/",['Anyone can access this program.'],available,"Ujima Friends Peace Center hosts a give-away event twice a month to provide free groceries, clothing, and books to the community.This program provides:- Groceries- Clothing- BooksThe program is held on the second and last Saturdays of each month. Tables will be set up to distribute items in the Peace Center parking lot and on the sidewalk.",['English'],Free,Yes,None,None,"This program covers residents of the following cities: Philadelphia, PA.",39.9948466,-75.160063,19132,No,Closed,Closed,Closed,Closed,Closed,12:00PM - 2:00PM,Closed,4.3,Food
Community Support Services (Community Center at Visitation),https://www.auntbertha.com//community-center-at-visitation--philadelphia-pa--community-support-services/5153333664808960?postal=19126,"['food pantry', 'clothing', 'checkup & test', 'recreation', 'navigating the system', 'more education', 'skills & training']","['food pantry', 'clothing', 'checkup & test', 'recreation', 'navigating the system', 'more education', 'skills & training']","['all ages', 'immigrants']",215-426-9422,https://www.communitycenteratvis.org/services,"2646 Kensington Avenue, Philadelphia, PA 19125","https://www.google.com/maps/?q=2646+Kensington+Avenue,+Philadelphia,+PA+19125/",['This program helps people of any age.'],available,"The Community Center at Visitation is committed to providing a safe place for community outreach, continuous education, and recreationAMong the diverse cultural communities of Kensington and its surrounding neighborhoods. Serving as a 'Beacon of Hope', the Center embraces and celebrates this community with particular regard for nurturing the potential of its youth, senior, and immigrant populations.This program provides:- Adult Education Offerings- Food Pantry- Wellness Program- Community Clothing Closet- Athletics & Healthy Living- Thea Bowman Women's Service CenterPlease call the program for more information about program availability.","['English', 'Spanish']",Free,Yes,None,None,"This program covers residents of the following counties: Philadelphia County, PA.",39.9897526,-75.12617,19125,No,8:30AM - 5:00PM,8:30AM - 5:00PM,8:30AM - 5:00PM,8:30AM - 5:00PM,8:30AM - 5:00PM,Closed,Closed,4.7,Food
Food Pantry (The Salvation Army West Philadelphia Corps Community Center),https://www.auntbertha.com//the-salvation-army-west-philadelphia-corps-community-center--philadelphia-pa--food-pantry/5687414567993344?postal=19126,['food pantry'],['food pantry'],"['anyone in need', 'all ages', 'individuals', 'families', 'homeless', 'near homeless', 'low-income']",215-825-4601,https://easternusa.salvationarmy.org/eastern-pennsylvania/greater-philadelphia/alleviate-hunger/,"5501 Market Street, Philadelphia, PA 19139","https://www.google.com/maps/?q=5501+Market+Street,+Philadelphia,+PA+19139/",['Anyone can access this program.'],available,"The Salvation Army West Philadelphia Corps Community Center Food Pantry provides groceries and food for families and individuals in need.This program provides:- Food to meet basic nutritional needsFood is free, but some locations require appointments. Others are on a walk-in first come first served basis. Call your local Salvation Army office or the 2-1-1 help line to determine which food pantry serves your area.",['English'],Free,Yes,https://www.facebook.com/SalArmyPhilly,https://www.twitter.com/@SalArmyPhilly,"This program covers residents of the following cities: Philadelphia, PA.",39.9610016,-75.231293,19139,No,9:00AM - 2:00PM,9:00AM - 2:00PM,9:00AM - 2:00PM,9:00AM - 2:00PM,9:00AM - 2:00PM,Closed,Closed,3.5,Food
Food Pantry (African Cultural Alliance of NorthAMerica Inc.),https://www.auntbertha.com//african-cultural-alliance-of-north-america-inc.-%2528acana%2529--philadelphia-pa--food-pantry/6524353764130816?postal=19126,['food pantry'],['food pantry'],"['all ages', 'immigrants', 'refugees', 'individuals', 'families', 'low-income', 'limited english']",215-729-8225,http://acanaus.org,"5530 Chester Avenue, Philadelphia, PA 19143","https://www.google.com/maps/?q=5530+Chester+Avenue,+Philadelphia,+PA+19143/",['This program serves individuals and families experiencing food insecurity.'],available,"ACANA serves as a food bank and distributes food to members of the Southwest and West Philadelphia community. ACANA can also distribute clothing, toys, building materials and other resources received as donations.This program provides:- Food to meet basic nutritional requirements - Other items as availableThis program is distributed very two weeks at ACANA.",['English'],Free,Yes,https://www.facebook.com/ACANA.Philadelphia,https://www.twitter.com/@ACANAevents,"This program covers residents of the following counties: Prince Georges County, MD and Philadelphia County, PA.",39.938005,-75.224831,19143,No,10:00AM - 6:00PM,10:00AM - 6:00PM,10:00AM - 6:00PM,10:00AM - 6:00PM,Closed,Closed,Closed,4.3,Food
Food Cupboard (Cast Your Cares Ministry),https://www.auntbertha.com//cast-your-cares-ministry--philadelphia-pa--food-cupboard/5742059674402816?postal=19122,['food pantry'],['food pantry'],"['anyone in need', 'all ages', 'individuals', 'families']",215-634-7445,https://castyourcares.org/community-outreach/,"2438 Kensington Avenue, Philadelphia, PA 19125","https://www.google.com/maps/?q=2438+Kensington+Avenue,+Philadelphia,+PA+19125/",['Anyone can access this program.'],available,"Cast Your Cares Ministry's Food Cupboard provides groceries for individuals and families in need. People know they can come to Cast Your Cares to receive food and not just a referral.This program provides:- Food to meet basic nutritional needsDue to the COVID-19 pandemic, grocery pickup is by appointment only. Please stop by and sign up to receive an appointment for groceries on Tuesdays between 2-3PM.",['English'],Free,Yes,https://www.facebook.com/castyourcares.org/?eid=ARBqPAC4YneTDv0w8HHVBg_EydvfnGW-FW7XBrl4KkBqWWBw1MYk3rIjmLrbE0Y263FffV8Ru-BiGqQO,None,"This program covers residents of the following counties: Philadelphia County, PA.",39.987082,-75.1308,19125,No,Closed,2:00PM - 3:00PM,Closed,Closed,Closed,Closed,Closed,4.7,Food
St. Mark's Food Cupboard (Saint Mark's Church),https://www.auntbertha.com//saint-mark%2527s-church--philadelphia-pa--st.-mark%2527s-food-cupboard/6094953357770752?postal=19122,['food pantry'],"['personal care items', 'navigating the system']","['anyone in need', 'all ages']",215-735-1416,http://www.saintmarksphiladelphia.org/foodcupboard/,"1625 Locust Street, Philadelphia, PA 19103","https://www.google.com/maps/?q=1625+Locust+Street,+Philadelphia,+PA+19103/","['This program helps people with income at or below 185% of federal poverty guidelines.', 'This program only serves residents of the state of Pennsylvania.,']",available,"The Food Cupboard provides various services to families and individuals in the community.

This program provides:

- Supplemental food assistance, largely shelf-stable items
- Household and personal care items

Other services include:

- Referrals to various other social service agencies, as needed

The Food Cupboard operates from Tuesday to Friday from 9:30 a.m. to 11:00 a.m. 
The Food Cupboard is closed Thanksgiving Day and the Friday afterwards, as well as the week between Christmas and New Year's, and the last full week of July.",['English'],Free,Yes,https://www.facebook.com/saintmarkschurch,https://www.twitter.com/@saintmarksphila,"This program covers residents of the following cities: Philadelphia, PA.",39.9489257,-75.168333,19103,No,Closed,9:30 - 11:00AM,9:30 - 11:00AM,9:30 - 11:00AM,9:30 - 11:00AM,Closed,Closed,4.7,Food
"Food Distribution (North10, Philadelphia)",https://www.auntbertha.com//north10%252C-philadelphia--philadelphia-pa--food-distribution/5743477776973824?postal=19122,['food pantry'],['food pantry'],"['anyone in need', 'all ages', 'individuals', 'families']",267-908-9000,https://north10phl.org/health-wellness/,"3890 North 10th Street, Philadelphia, PA 19140","https://www.google.com/maps/?q=3890+North+10th+Street,+Philadelphia,+PA+19140/",['Anyone can access this program.'],available,"North10, Philadelphia's Community Market provides a food pantry consisting of quality food items to households experiencing food insecurity. This program supplies critical nutrition to hungry individuals and families. This program provides:- Food to meet nutritional needsPlease call before visiting since registration may be required at times.","['English', 'Spanish']",Free,Yes,https://www.facebook.com/lenfest.ctr/,,"This program covers residents of the following cities: Philadelphia, PA.",40.0116671,-75.144428,19140,No,Closed,1:00PM - 3:00PM,Closed,1:00PM - 3:00PM,Closed,Closed,Closed,4.5,Food
Farm to Families (St. Christopher's Foundation for Children),https://www.auntbertha.com//st.-christopher%2527s-foundation-for-children--philadelphia-pa--farm-to-families/5397808157032448?postal=19122,['food pantry'],['nutrition education'],"['anyone in need', 'all ages', 'individuals', 'families', 'benefit recipients', 'low-income']",215-769-1100,https://scfchildren.org/farm-to-families-initiative/,"850 North 11th Street, Philadelphia, PA 19123","https://www.google.com/maps/?q=850+North+11th+Street,+Philadelphia,+PA+19123/",['Must be eligible for SNAP benefits.'],available,"Each week, Farm to Families supplies North Philadelphia families with boxes of wholesome fresh produce or fruit at a reduced cost. Boxes are packed with delicious seasonal fruits and vegetables, often valued at double the price. Additional fresh items including local eggs, meat, and seafood are also offered at affordable prices.This program provides:- Food to meet basic nutritional needsFarm to Families also provides food and nutrition education, including food budgeting and shopping tips, basic food preparation and cooking skills, and demonstrations and taste tests, aligned with the weekly boxes.Orders are taken one week in advance. SNAP benefits are all accepted for payment. Farm to Families is open to all with no income restrictions.",['English'],Reduced Cost,Yes,https://www.facebook.com/FarmtoFamilies/,https://www.twitter.com/@FarmtoFamilies,"This program covers residents of the following cities: Philadelphia, PA.",39.9679663,-75.154949,19123,No,9:50AM - 6:50PM,9:50AM - 6:50PM,9:50AM - 6:50PM,9:50AM - 6:50PM,9:50AM - 6:50PM,Closed,Closed,0,Food
Nutrition Lunch and Learn (Frazier Family Coalition for Stroke Education and Prevention),https://www.auntbertha.com//frazier-family-coalition-for-stroke-education-and-prevention--philadelphia-pa--nutrition-lunch-%2526-learn/6061022550556672?postal=19122,"['food pantry', 'nutrition education']","['food pantry', 'nutrition education']","['anyone in need', 'all ages', 'individuals', 'families']",215-890-1567,https://www.frazierfamilycoalition.org/community-programs/nutrition-lunch/,"1300 West Lehigh Avenue, Philadelphia, PA 19132","https://www.google.com/maps/?q=1300+West+Lehigh+Avenue,+Philadelphia,+PA+19132/",['Anyone in need can access this program.'],available,The Frazier Family Coalition for Stroke Education and Prevention provides healthy nutrition topics and food demonstrations. Participants are also able to take home a free box of fresh produce.This program provides:- Nutrition education- Fresh produce,['English'],Free,Yes,None,None,"This program covers residents of the following counties: Philadelphia County, PA.",39.9928236,-75.15358,19132,No,Closed,Closed,Closed,12:00PM - 1:00PM,Closed,Closed,Closed,0,Food
Food Pantry (Golden Star Baptist Church),https://www.auntbertha.com//golden-star-baptist-church-%2528gsbc%2529--philadelphia-pa--food-pantry/6526637829783552?postal=19112,['food pantry'],['food pantry'],"['anyone in need', 'all ages', 'individuals', 'families']",215-769-0623,https://goldenstaronline.org/ministries,"1635 North 27th Street, Philadelphia, PA 19121","https://www.google.com/maps/?q=1635+North+27th+Street,+Philadelphia,+PA+19121/",['Anyone can access this program.'],available,GSBC offers a Food Pantry for individuals or families who are food insecure and are in need of assistance meeting their nutritional needs. This program provides: - Food to meet your basic nutritional needs,['English'],Free,Yes,None,None,"This program covers residents of the following cities: Philadelphia, PA.",39.9807777,-75.178587,19121,No,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,Closed,Closed,4.9,Food
Free Produce Markets No.1 (Children's Hospital of Philadelphia),https://www.auntbertha.com//children%2527s-hospital-of-philadelphia-%2528chop%2529--philadelphia-pa--free-produce-markets/6006436119248896?postal=19112,['food pantry'],['food pantry'],"['all ages', 'individuals', 'families']",None,None,"1701 South 15th Street, Philadelphia, PA 19145","https://www.google.com/maps/?q=1701+South+15th+Street,+Philadelphia,+PA+19145/",['Anyone can access this program.'],available,CHOP's free produce markets provides quality food items to households experiencing food insecurity. This program supplies critical nutrition to hungry individuals and families.This program provides:- Food to meet basic nutritional needsPlease bring your own bag when you visit. The market will be cancelled if it rains.,['English'],Free,Yes,None,None,"This program covers residents of the following cities: Philadelphia, PA.",39.9291778,-75.169018,19145,No,Closed,Closed,Closed,Closed,12:00PM - 1:00PM,Closed,Closed,4.1,Food
Food Pantry (Project HOME),https://www.auntbertha.com//project-home--philadelphia-pa--food-pantry/5485996744114176?postal=19112,['food pantry'],['food pantry'],"['anyone in need', 'all ages', 'individuals', 'families', 'with children']",215-235-3110,https://www.projecthome.org/hbcc,"1845 North 23rd Street, Philadelphia, PA 19121","https://www.google.com/maps/?q=1845+North+23rd+Street,+Philadelphia,+PA+19121/",['Anyone can access this program.'],available,"Project HOME helps alleviate hunger in our community in an environment of respect, care and hospitality.This program provides:- Foods to meet basic nutritional needsPlease call for more information.",['English'],Free,Yes,None,None,"This program covers residents of the following counties: Philadelphia County, PA.",39.9831843,-75.17173,19121,No,10:30AM - 12:30PM,Closed,10:30AM - 12:30PM,10:30AM - 12:30PM,Closed,Closed,Closed,4.5,Food
Food Cupboard (Refuge Evangelical Baptist Church),https://www.auntbertha.com//refuge-evangelical-baptist-church-%2528rebc%2529--philadelphia-pa--food-cupboard/4860746388471808?postal=19112,['food pantry'],['food pantry'],"['anyone in need', 'all ages', 'individuals', 'families']",215-224-2024,https://www.refugeevangelical.org/ministries,"1100 Oak Lane, Philadelphia, PA 19126","https://www.google.com/maps/?q=1100+Oak+Lane,+Philadelphia,+PA+19126/",['Anyone can access this program.'],available,REBC's Food Cupboard provides a food pantry to help alleviate hunger in the community.This program provides:- Food to meet nutritional needs,['English'],Free,Yes,https://www.facebook.com/pg/www.rebc.org/about/?ref=page_internal,None,"This program covers residents of the following cities: Philadelphia, PA.",40.0546799,-75.136615,19126,No,Closed,10:00AM - 1:00PM,Closed,Closed,Closed,Closed,Closed,4.7,Food
Food Cupboard (Berean Presbyterian Church),https://www.auntbertha.com//berean-presbyterian-church--philadelphia-pa--food-cupboard/5849502340612096?postal=19112,"['food pantry', 'clothing', 'counseling', 'basic literacy']",,"['anyone in need', 'all ages']",605-472-5636,https://www.bereanpresbyterian.org/ministries-1,"2101 North Broad Street, Philadelphia, PA 19122","https://www.google.com/maps/?q=2101+North+Broad+Street,+Philadelphia,+PA+19122/",['Anyone can access this program.'],available,The food pantry provides quality food items to households experiencing food insecurity. This program supplies critical nutrition to hungry individuals and families. This program provides:- Food to meet basic nutritional needs,['English'],Free,Yes,None,None,"This program covers residents of the following cities: Philadelphia, PA.",39.9848773,-75.15608,19122,No,Closed,Closed,11:00AM - 1:00PM,Closed,11:00AM - 1:00PM,Closed,Closed,4.6,Food
Food Pantry (Star of Hope Baptist Church),https://www.auntbertha.com//star-of-hope-baptist-church--philadelphia-pa--food-pantry/5924269727678464?postal=19112,['food pantry'],['food pantry'],"['anyone in need', 'all ages', 'individuals', 'families']",215-332-8320,https://www.starofhopebc.org/weekly-bulletin,"7212 Keystone Street, Philadelphia, PA 19135","https://www.google.com/maps/?q=7212+Keystone+Street,+Philadelphia,+PA+19135/",['Anyone can access this program.'],available,"Star of Hope Baptist Church offers a food pantry which serves everyone from low income families, single parents, senior citizens, unemployed individuals, disabled veterans, working poor, and anyone else in need of assistance.This program provides: - Food to meet basic nutritional needs",['English'],Free,Yes,https://www.facebook.com/Star-of-Hope-Baptist-Church-147516732074440/,None,"This program covers residents of the following cities: Philadelphia, PA.",40.0271939,-75.034054,19135,No,Closed,11:00AM - 1:00PM,Closed,Closed,Closed,Closed,Closed,4.5,Food
