[12Step; inCodeSet; _CategoryCodeSet_Services_Main]
[ChZDSUhNMG9nS0VJQ0FnSUNwNXRpQVFnEAE; reviewBody; "The people are friendly and the food is very tasty."]
[ChdDSUhNMG9nS0VJQ0FnSURnNFBXcnFRRRAB; reviewBody; "This place is beautiful, yes, but i had a horrible experience. I was 3 months pregnant when I went in but had no idea because I was only worried about using. State regulations state that facilities that medically detox women within child bearing years MUST test them before starting detox and educate them on their options and what would be best. They NEVER told me I was pregnant. They medically detoxed me with subutex and didn't test to see if I was pregnant. They were also just starting the renovations to the detox area while I was there (March 2015) and someone asked a tech how they can afford this after just building the resident houses, the techs reply was \"the heroin epidemic, we are rolling in money from you guys\".... As true as that may be, its a disgusting thing to say to a patient in your facility. Now I've been an addict for 5 years before coming here and had been in and out of rehabs but this was the first time I was so disgusted with a place. I clearly know I have a problem, they told me after being reviewed and talked to, they didn't feel I needed long term treatment and that a 5 day detox was good enough! I looked at my councelor in disgust and told her no I can't be sent back out their I'm telling you I will pick up again I need longer treatment I have a disease! Her response was \"give yourself more credit, you can do this but if you feel like you're going to pick up again call us and we will see what we can do!\" I laughed and said okay. The day after I left I used, overdosed, went to white deer run allenwood and found out I was pregnant. Have been trying to talk to someone their about why I wasn't tested, no one could call me back. They are a joke. I just thank God my son is perfectly fine and happy and healthy! Thanks for nothing livengrin!!"]
[ChZDSUhNMG9nS0VJQ0FnSUQwaE83WmJ3EAE; reviewBody; "I wish i can give no stars... This place is crazy! Security needs to be reported.. They are rude and disrespectful"]
[ChdDSUhNMG9nS0VJQ0FnSURTbHVhSjFBRRAB; reviewBody; "Keeps me in touch with my friends I miss them but I get to see them on video"]
[ChZDSUhNMG9nS0VJQ0FnSUNBbTcycVR3EAE; reviewBody; "Keeping me alive"]
[ChdDSUhNMG9nS0VJQ0FnSURjbHZmWXZRRRAB; reviewBody; "if you want staff to judge you or dont want help dont come here !! horrible ! all they do is gossip .if i could put 0 stars i would this is for the out patient"]
[ChZDSUhNMG9nS0VJQ0FnSURRdDlqaUhREAE; reviewBody; "The worst place the city could fund!!!!!!!!!!!!!!!  From CW!!!!!!!!!!!!!!"]
[ChZDSUhNMG9nS0VJQ0FnSURRcXNlUkh3EAE; reviewBody; "I always get the help I need at Men & Women."]
[ChZDSUhNMG9nS0VJQ0FnSURSLS1iWk5BEAE; reviewBody; "Great staff. Helpful as well as cool and attractive."]
[ChdDSUhNMG9nS0VJQ0FnSURzZ3JHRjJRRRAB; reviewBody; "Nice Place"]
[ChdDSUhNMG9nS0VJQ0FnSURXXzZ1S3B3RRAB; reviewBody; "Too many man without homes and they leave men staying near the doorway waiting to hear their name because they have a work history and don't go to the doctors appointment for nicotine or cigarettes."]
[ChZDSUhNMG9nS0VJQ0FnSURoeTRiSmNBEAE; reviewBody; "I've been visiting the Mazzoni Center since 2017, and I will continue using them for all of my healthcare and mental health services.  The staff is compassionate and experts in their respective fields.  I'm transgender, so other medical professionals have treated me with disdain, suspicion, or I have been outright insulted/demeaned by the staff.  It is such a relief to visit Mazzoni and know I'll be respected while receiving superb treatment."]
[ChdDSUhNMG9nS0VJQ0FnSUNnMHNEMGhBRRAB; reviewBody; "Great Place with a Great Staff to Help You ,/"]
[ChZDSUhNMG9nS0VJQ0FnSURHc3RhcUxnEAE; reviewBody; "Not a good site on the eyes. I consider this Addicts Last Stop, due to the open drug use. An environment that will continue to need aid from outside sources.6/4/22 and it looks much better than my last visit. Still needs help from outside sources."]
[ChZDSUhNMG9nS0VJQ0FnSUNaX0l1OFRnEAE; reviewBody; "This place is garbage. A loved one came here for help, all they discussed with them at admission was making sure they got paid. Next thing you know they messed up and said they were transferring my loved one to Malvern because they messed up. Another absolute joke. I called to speak with my loved one to communicate that they were to go to RCA instead and was denied the right to communicate about the transfer. I kept calling until I could explain to my loved one what was going on. They never communicated. I requested to speak with the director, they refused to speak with me. I spoke to the head of our health insurance company who explained that Livengrin is constantly making mistakes and she guided me on exactly what to do because they refused to speak to me. I hate this place. It’s a disgrace. Crooked, full of lies and scams. Recovery is possible at properly run facilities with adequate and appropriately trained staff. Not here. This place needs to be shut down. Absolutely failing everyone that walks through the doors there. Disgusting."]
[ChdDSUhNMG9nS0VJQ0FnSUNZNkszTDh3RRAB; reviewBody; "This is not a family shelter. This is a women's and children's shelter. If you are a family where the father is in the home and/or married with children this place will separate the family from the father. Hence why they need to change the name."]
[ChZDSUhNMG9nS0VJQ0FnSURHdHVISUh3EAE; reviewBody; "They offer you 3 meals a day, a shower, and a place to sleep. The staff does there best to accommodate everyone."]
[ChZDSUhNMG9nS0VJQ0FnSUQ2LWFuSlJnEAE; reviewBody; "Place is disgusting. Needles and junkies everywhere. Although it is good to see people hand out food to the homeless."]
[ChdDSUhNMG9nS0VJQ0FnSUNoOF9EbW53RRAB; reviewBody; "Place should be shut down !!! Stole my money staff is horrible .. food was cold to be honest place made me feel like I was going to loose control of my mind"]
[ChZDSUhNMG9nS0VJQ0FnSUMwMnNydkJBEAE; reviewBody; "This park needs help... Its a drug addicts place to use and sleep. Cops are parked there everyday all day... Its sad"]
[ChdDSUhNMG9nS0VJQ0FnSURPbzc2bW9BRRAB; reviewBody; "Generous,  loving, Godly staff who do a remarkable job everyday feeding and housing the emotionally wounded, those alone in the world, the poor, and the ill and mentally ill, and who provide a way up and out of despair for many, many men. A place of miracles. Prayers."]
[ChZDSUhNMG9nS0VJQ0FnSURjakltQ0tBEAE; reviewBody; "My wife and I love this park!"]
[ChdDSUhNMG9nS0VJQ0FnSUMwOTltMmhRRRAB; reviewBody; "Great program for the community"]
[ChdDSUhNMG9nS0VJQ0FnSUNLM3N1Um9nRRAB; reviewBody; "Need more community support."]
[ChZDSUhNMG9nS0VJQ0FnSUN3eC1haEJREAE; reviewBody; "Excellent"]
[ChdDSUhNMG9nS0VJQ0FnSUNsdnI2bC1nRRAB; reviewBody; "Well my brother been there for 3or 4 weeks now I got to talk to him 1 time he is awarded to the state and I don't know what is going on there but when I call no one will pick up the phone so I can talk to him I have read the reviews and I don't know what to do live williamsport"]
[ChZDSUhNMG9nS0VJQ0FnSUQwZ2VxQ0dREAE; reviewBody; "I would give this place a -10 if I could! Dangerous with ex-cons physically attacking each other. No security. Shared bathrooms with junkies. I had open wounds and felt unsafe taking a shower or sitting on the toilet. Human feces smeared all over the room. I had a hole in my stomach and for 6 days I could not convince them I couldn’t eat solid food as per my doctor so I starved. I lost 15 pounds there. The only way I got out of this place was to mention the many lawsuits against the hospital including federal charges. It’s a money game with Friends hospital. They won’t let you out even if you don’t belong there. They will make up a reason for you to be there and hold you against your will. Do NOT send your loved ones here!!!!"]
[ChZDSUhNMG9nS0VJQ0FnSUQwMkwyVWZREAE; reviewBody; "Not as exciting"]
[ChZDSUhNMG9nS0VJQ0FnSUNBaUxmQkxnEAE; reviewBody; "So far I haven’t been admitted.  I’ve been waiting for two days  then they said there was a bed available. The intake doctor told me she was not being rude by rushing me but she was in a hurry and only wanted the brief over view.  The waiting room opens up directly to the outside and it is freezing my thermometer says the temp is below 12 degrees and my fingers are litteraLly frozen. My phone will barely let me type.  I came here voluntarily for treatment and I’m going on two days with out any help. They have girls under the age of 13 waiting in an unsupervised waiting room with grown men a bathroom that is never checked.  All the while people are litteraLly freezing.  For the the first time I’ve b en here I hours I was told I now have turn In My phone and I am wondering what’s surprised are I store.  I would not recommend this facility to anyone who is looking for real help"]
[ChZDSUhNMG9nS0VJQ0FnSURRbXJuZkRnEAE; reviewBody; "This Place will Do u More Harm Then Good.Mean Its All about the Dollar, Between the mean nurses, the supervisors Crucifiying u if u cant make the group$.& *(The Low Life Security Gaurds who buy Pills off the Clients & take Money off the Clients who come to the door after they close  & then let them in) They extort u to get ur own Medication that gets u well, its really Sick. & it all gets overlooked! they should be Shut down. 'If only CBH really new'."]
[ChdDSUhNMG9nS0VJQ0FnSURVOWRmLTlBRRAB; reviewBody; "Very nice Library, always something going on for the children, I wish Frankford Library had something going on for the children more than Once every two months, but at this Library the Lady with glasses at front desk, extremely rude, needs to work on her people skills,and makes u feel very unwelcome and makes quietly rude comments with coworkers about others people there. Needs to learn how to greet new faces and how to answer people questions with out her attitude, is very, very loud to be a Library, even though the children do the activities downstairs the computer is very loud upstairs, staff children do what they want in the computer section n are very loud, almost impossible to work, unsafe in the outside area, because of the neddles and zombies around, my girls enjoy their children programs they have everyday, is an Amazing program for children."]
[ChZDSUhNMG9nS0VJQ0FnSUNzLTlIVGZREAE; reviewBody; "God Bless the Employees here, being homeless they made me feel like a human being."]
[ChdDSUhNMG9nS0VJQ0FnSURnalp6bTBnRRAB; reviewBody; "It is what it is"]
[ChZDSUhNMG9nS0VJQ0FnSUNGNmRTOE9nEAE; reviewBody; """Nova care is the best place in the Lehigh Valley for physical therapy. Muhammad and Sara were always superb and the current team of Erik, Trisha and Kelly are just as amazing. I'm not sure if many people realize just how blessed they are to receive care from these knowledgeable, caring, non-judgmental angels, who always have the perfect words for motivationAlso, the facility is always pristinely clean with pleasant, upbeat, fun music playing and patients are always welcomed by first name with a warm smile."""]
[ChdDSUhNMG9nS0VJQ0FnSUNRMHJ5SDNRRRAB; reviewBody; "Great doctors. Support staff are lacking - they make appointments with you and pawn you off with someone else. When a patient asks to speak with the office manager, they redirect you to the person you had issues with to start. Very unhappy with this visit."]
[ChZDSUhNMG9nS0VJQ0FnSURZdThiV01nEAE; reviewBody; "Very nice 👌 people"]
[ChZDSUhNMG9nS0VJQ0FnSURRa0xmMlFBEAE; reviewBody; "it's a very good place to go to the library yet and also has a good part the only thing about this place is that heroin addicts that's around the neighborhood so it's a neighborhood that's not that good but it's a good librarian Park"]
[ChZDSUhNMG9nS0VJQ0FnSUNReUpfN013EAE; reviewBody; "God bless the people at Friends, this is an impossible job that even when they care and do they're very best possible. they will still be vilified.  Wake up people, supporting our brothers and sisters with mental health problems takes time, effort, and money.   As long as we keep electing people to cut our health and human services, the people at Friends have virtually no chance of helping everyone, and any successes should be applauded."]
[ChdDSUhNMG9nS0VJQ0FnSURzbWJDZnpnRRAB; reviewBody; "My first night wasn't a good experience, but what do you expect? It's a place to be and sleep when it's cold and raining outside, plus they feed you which I don't wait for. A lot of the people that  complains have mental illness. It's not a hotel, nowhere near that. Let's not forget where we were a day ago. Out in the streets. I'm humble and grateful."]
[ChZDSUhNMG9nS0VJQ0FnSUNValo2ZVlnEAE; reviewBody; "Thank You very uplifting and helpful I TRULY Appreciate them all for what they stand for and for what is done for all the women and men in need of help there is no discrimination"]
[ChZDSUhNMG9nS0VJQ0FnSUNBbGU3b1J3EAE; reviewBody; "Nothing but drug addicts and dealers that hang around there. There is used needles & empty dope bags all over the ground. Keep your kids away from this area and if you have to be in that area hold onto your cellphone & money tightly Bring a 🔫 AND/OR 🗡with you also!!!"]
[ChZDSUhNMG9nS0VJQ0FnSURWeGZUcUVREAE; reviewBody; "i forget her name but the doctor with the badass haircut and blue eyes is really nice. also the receptionist was super cool"]
[ChdDSUhNMG9nS0VJQ0FnSURBdE8tcXRnRRAB; reviewBody; "My thoughts are still the same just like I said about the VA this place is just the same"]
[ChZDSUhNMG9nS0VJQ0FnSUMxOUlqMEpBEAE; reviewBody; "It was confident for my family. Lady staffing are nice and respectful and apologetic/empathetic."]
[ChdDSUhNMG9nS0VJQ0FnSUQ2enVxTWt3RRAB; reviewBody; "Excellent over All!"]
[ChZDSUhNMG9nS0VJQ0FnSUMwaGJ6cEdREAE; reviewBody; "Nice place. The works are respectful and so uplifting. They help with rental assistance & workshop for buying a home"]
[ChdDSUhNMG9nS0VJQ0FnSURtN2ZyRXBRRRAB; reviewBody; "I became a frat member at Livingrin, which is a program, for First Responsers, Livingrin and that program has definitely opened up my eyes and let me see a whole nother world that I didn’t know existed. I continue to give back whenever I get the chance!!!!"]
[ChZDSUhNMG9nS0VJQ0FnSURBb3FYSEdBEAE; reviewBody; "Asked to schedule an appointment, and got scheduled 3 months from the day I'd called. Cool. No problem. Now they called me saying the appointment been cancelled coz the provider isn't available and I got rescheduled 1.5 months away from my original appointment. Receptionist provided no support for my frustration except \"would you like me to reschedule to that day or no?\""]
[ChZDSUhNMG9nS0VJQ0FnSURRODl1c1pBEAE; reviewBody; "I went here because of the bad news I heard about heroin addicts.  I found it to be a very nice park and a neat library.  The surrounding neighborhood reminded me of South Philly when I was growing up.  I heard about a meeting in Kensington on August 1st.  I will attend."]
[ChdDSUhNMG9nS0VJQ0FnSURGLTktcjlnRRAB; reviewBody; "I was a patient there at the time of turning 24. I am now 34. I’ve been having nothing but issues of them making up rules. Why and how I gotta jump. Hoops to go see them just to get back on hormones all they care about is money Insurance and they want to say they were no longer going to see me back then when I was 24 the funny part looking back on it I should’ve let them not see me anymore because come to find out. I’m reading the feedback on here and it’s kind of making sense from my past experience I had with them I just never posted it they would always find every lame excuse to my appointment even if I’m five minutes late, it’s because they’re trying to use this place as a cash cow they don’t care to really talk to patience about their actual medical issues. I know what my situation is. I know what I want in my life and I know what I feel comfortable doing in my life. But at the end of the day they are definitely not what they used to be. They were literally giving me a hard time to having a telehealth appointment, just to reestablish as a patient because their claiming that a law is changing the way they operate. The law clearly states which I know already know what the law entails I asked them to cite it for me. Apparently they don’t know what the law is. The law states that any doctor that is seeing a patient and prescribing any medication that is either controlled substances along with other type of life altering drug. You’re supposed to physically see the doctor so they can make an actual diagnosis. I don’t mind waiting to get back on hormones. I’ve been waiting for five years when I was in Georgia but when you have people literally putting a halt to your plans for happiness and feeling like yourself more, it’s kind of becoming more of a chaotic, nuance and waste of time for me. I don’t know what’s changed about Mazzoni, but they don’t care about their patients the way they used to all they see as a cash cow in this business. There’s somebody even giving feedback about literally being billed and reported to their credit probably nonetheless because they didn’t have Medicaid anymore. If you’re gonna bring your child here, definitely make sure your child knows what is good for them I don’t even think children should be trying to transition. There’s nothing wrong with wanting to transition if that is what is right for you, but it is a life change to make a decision on. I’m happy with who I am. I don’t need the change a lot. Only thing I wanted was the better appearance of passing as a normal woman I have other medical situations that also deem me as a female. At the end of the day office did not care about their patients, including myself. Whoever Sultan is definitely does not know how to run a clinic."]
[ChZDSUhNMG9nS0VJQ0FnSURRbWQ2U2V3EAE; reviewBody; "Very helpful to the needy"]
[ChZDSUhNMG9nS0VJQ0FnSUQyX1Bfc0ZREAE; reviewBody; "Pick up from northeast community behavior health."]
[ChdDSUhNMG9nS0VJQ0FnSURJck9DYzRnRRAB; reviewBody; "I just got out of here today and I hated how disrespectful the staff was and the food barely cooked and I only got 10 minutes on the phone to call my family and they are very self centered"]
[ChZDSUhNMG9nS0VJQ0FnSUNtbjRubUxREAE; reviewBody; "The security is to young they embarrass u make u dump all ur clothes and stuff on the floor they be Laughing at u talking among their self people life is not funny and they dont know what ppl go through in life i feel like they need older ppl to work  there.. why should u feel embarrass because u need help if u did not need help they would not have a job  someone need to look into this change the security company because the security they have there now is Disrespectful"]
[ChdDSUhNMG9nS0VJQ0FnSUM1NDgzNWdRRRAB; reviewBody; "These providers at Rogers are not good people. They turned me away by saying I am experiencing psychosis based of a situation that is actually a fact. I will be filing a grievance."]
[ChZDSUhNMG9nS0VJQ0FnSURBbHJYRlV3EAE; reviewBody; "Love working there."]
[ChZDSUhNMG9nS0VJQ0FnSUN3bk5TcWRBEAE; reviewBody; "This place I talked about my issues and had support to get my life in order and adjust my attitude and behavior."]
[ChdDSUhNMG9nS0VJQ0FnSURBNV9idjVRRRAB; reviewBody; "they noscoped my father"]
[ChZDSUhNMG9nS0VJQ0FnSUNxOVBxVE9REAE; reviewBody; """I'm a Marine Corps Veteran Ooh Rah!!!!!Honorable discharge..😎😉😘"""]
[ChdDSUhNMG9nS0VJQ0FnSUNBMDZyY2x3RRAB; reviewBody; "It was a good experience"]
[ChdDSUhNMG9nS0VJQ0FnSURCNzZqeTRnRRAB; reviewBody; "Los estáffno tien orden se pasan discutiendo con lo residentes dan las 10 y 11 de la noche dejan q los residentes q escuchen música alta ruidos de madrugadas no consideran los q trabajan estobes todos los días supuesto cristianismo en este lugar pero parece la casa del Diablo empezando con los duenos o encargado y terminando con los staff roban entre ellos mismo los estaff te tratan como basura por q eres homles y cuando vienen voluntarios a ayudar y servir ellos se portan como los mejores estaff del Mundo ni descansar los recientes pueden es una tortura todas las noches"]
[ChdDSUhNMG9nS0VJQ0FnSURRcHZtNHhBRRAB; reviewBody; "I don't know about the Philadelphia hospital, but the Boston VA Healthcare treated my husband tremendously.  I have nothing but great admiration for them, but the Philadelphia VA's office are downright evil liars!  BURN IN HELL, LUCY FILIPOV."]
[ChZDSUhNMG9nS0VJQ0FnSURnb1BxQ1JnEAE; reviewBody; "I like the open design of the offices. They also have an exercise room on the premises. No excuses!"]
[ChdDSUhNMG9nS0VJQ0FnSUNvODdUODJnRRAB; reviewBody; "Horrible place. Do not send your worst enemy here. The staff physically abuse the children in there. Then lie to the parent about everything. The staff here have stolen my daughter's clothes then told me I was lying and never dropped them off. The kitchen was disgusting, food still on the floor from 2 days before. The staff was very very rude as well. Please do not send your worst enemy here its that bad"]
[ChdDSUhNMG9nS0VJQ0FnSUNobkllUThnRRAB; reviewBody; "My son have been suffering from add, and adhd he has seen about 2 previous therapist and no one seem to connect with him I can say that even through the challenges that he gives his therapist sofia kovacevic she works with him in an amazing way I am happy that she has help him open up about how he feels and what he wants she is an amazing therapist and I am so happy that we were able to connect with her. Thank you so much ."]
[ChZDSUhNMG9nS0VJQ0FnSURKaDg3M2V3EAE; reviewBody; "The staff stole my expensive sweater. And took my walker and gave me a dirty wheelchair full of cobwebs, I loss the use of my legs because of it. The staff treated my bad.  I don’t recommend this mental hospital to anyone."]
[ChZDSUhNMG9nS0VJQ0FnSUNBb09LcERBEAE; reviewBody; "Good place"]
[ChZDSUhNMG9nS0VJQ0FnSURHaGRqd0xREAE; reviewBody; "DO NOT send your child to this place! Very unprofessional staff!  Worst experience ever! Never got a phone call from a doctor or even a therapist. Patients constantly arguing, no good especially when already having mental issue’s!! As well as sitting over an hour waiting for staff to let my daughter out of the unit she is in! Ridiculous!!"]
[ChZDSUhNMG9nS0VJQ0FnSUNsbVlHMURBEAE; reviewBody; "Erick is the best like I said they put the aw in awesome"]
[ChdDSUhNMG9nS0VJQ0FnSURXcnBEZm1nRRAB; reviewBody; "Eric and all the staff at Nova Care are Awesome!  They are very attentive and thorough, as well as positive and personable.  They also play great music!"]
[ChdDSUhNMG9nS0VJQ0FnSUNPemF2UjBRRRAB; reviewBody; "U have some good staff and u have some that shouldn't be working there that's doesn't have a heart for there job ."]
[ChdDSUhNMG9nS0VJQ0FnSUQtbEpDV2x3RRAB; reviewBody; "My friend appeared here after having a psychotic breakdown and disappearing. Despite a missing persons report, it was days before we were told where he was. Terrible conditions has worsened his mental state."]
[ChdDSUhNMG9nS0VJQ0FnSURSc3JQMTRRRRAB; reviewBody; "No idea. I was there for an interview with the city of Philadelphia"]
[ChZDSUhNMG9nS0VJQ0FnSUNscFo3a1Z3EAE; reviewBody; "Great"]
[ChdDSUhNMG9nS0VJQ0FnSURJX3JxemlnRRAB; reviewBody; "Very nice place. Most of the staff are there to help you. Very good groups fairly clean. Food is good. The doctor who does ECT is the best one around. Did my treatment for that here. Only ever was on the mood disorder unit. Biggest down fall no private rooms all rooms have three beds and as a trauma victim it's very hard to deal with that. Hopefully the new building will have some. Overall very nice place if u can handle have two other people in ur room and the best place to get ECT."]
[ChdDSUhNMG9nS0VJQ0FnSURzNklQTXdnRRAB; reviewBody; "Blessed"]
[ChdDSUhNMG9nS0VJQ0FnSUNhekotQjN3RRAB; reviewBody; "Prayer is very much needed🙏🏾 the people out there are in need of help. The drugs 💉 is off the hook and they just don't care about there life, drugs is there life. Some did give there life to Jesus Christ and some just didn't care. Please those of you that love Jesus please let's pray that God will bless in that area. Thank you.  Louis.G😇🙏🏾"]
[ChZDSUhNMG9nS0VJQ0FnSURnNWNDUVR3EAE; reviewBody; "Cool people. You can be you and learn alot about yourself and others as well"]
[ChZDSUhNMG9nS0VJQ0FnSUNPbk9fQmFREAE; reviewBody; "If your trying to get food for you and a pet this is the place you can go unfortunately, the food truck was running late"]
[ChZDSUhNMG9nS0VJQ0FnSUN3NGFEX2JBEAE; reviewBody; "Worst behavioral health practice known to man. I have never been to a psych practice that been so out of pocket. This place is never on top of their work. For the last 4 months the dr is never in on my appointment day so they call me to ask for my pharmacy number and takes them almost 1.5 days to have it called in and I have to take off work for the appointment because you never know how long your going to wait. I waited about 2hrs before when the dr was actually there. Another thing is they change your therapist after you get comfortable with confiding in him/her. I asked to see my therapist and they say oh we have to find you a new one because they no longer work her, i also had one that they let go because he needed more traning. You literally have to stay on top of them. They barely speak any english.  Im on the verge of going somewhere else because this place makes my anxiety worse than it already is. Take my word and find somewhere else who cares."]
[ChZDSUhNMG9nS0VJQ0FnSUNvd2RqalV3EAE; reviewBody; "Iam getting all my stuff stolen and they dont care"]
[ChZDSUhNMG9nS0VJQ0FnSUMtMXRPVmV3EAE; reviewBody; "Six months staying here in the shelter can get you housing in most cases"]
[ChZDSUhNMG9nS0VJQ0FnSURVeExLOU9nEAE; reviewBody; "Not a good shelter"]
[ChZDSUhNMG9nS0VJQ0FnSUNhaS1MR2VBEAE; reviewBody; "Welfare patients only. Just one of many mental health facilities that refuse to take normal paid insurance. Rediculous! Everyone, at one time or another needs help for a mental Health crisis!!!!!!"]
[ChZDSUhNMG9nS0VJQ0FnSUR3X083ek5BEAE; reviewBody; "You are never left the same."]
[ChZDSUhNMG9nS0VJQ0FnSURZaHJXQWJREAE; reviewBody; "No just no..nice library but not a park for kids drug infested"]
[ChZDSUhNMG9nS0VJQ0FnSUNvMTlIdGNBEAE; reviewBody; "Great care to vets"]
[ChdDSUhNMG9nS0VJQ0FnSUN3dV9DN193RRAB; reviewBody; "I wish I could give zero, my boyfriend had to live here for a while and this place does not care about any of your needs they are not bound by the protocols of the city so they take that as a opportunity to treat less fortunate people any way they please. Showers stop at 9, no matter if it's raining or really cold out the residents MUST leave every morning a 7am even if you work, they don't house anyone that works overnight, they kick you out the building on national holidays such as Christmas and the staff there are homeless men themselves living on the premises  and are only concerned with securing their own bed, it's nasty, they don't feed you good and it's the closest thing to being in jail. Please never send anyone here, and if you know someone who lives here get them out asap as their situation can only get worse here. Crazy, they claim to be a \"Christian based\" organization, yeah...ok."]
[ChdDSUhNMG9nS0VJQ0FnSUNRa2EtTTN3RRAB; reviewBody; "I go there and the staff is so loving and caring... They help with everything Yu may need from physical to emotional and mental help"]
[ChdDSUhNMG9nS0VJQ0FnSURndk5fOHlRRRAB; reviewBody; """A life changing experience, A character building institution with a God fearingman of GodApostle Jimmie A Ellis."""]
[ChdDSUhNMG9nS0VJQ0FnSUN3X3RXdXdBRRAB; reviewBody; "They are willing to help you if you are willing to help urself"]
[ChdDSUhNMG9nS0VJQ0FnSUMwM1llSmd3RRAB; reviewBody; "They help in lots of ways for ppl who are homeless n what not . This place is good for all ages that may need a helping hand"]
[ChZDSUhNMG9nS0VJQ0FnSUNRODVueE5nEAE; reviewBody; """Unfortunately, my 14 year old daughter is there now.  This place is horrible.  Please do not allow your family to be transported there under any circumstance#1 - At admission, they separated us and had her sign documents with out me present.  This is allowed in Pa since consent is at the age of 14.  The rules were not fully understood by my daughter who believed that she could say when she wants to leave#2 - They did not have any history about her nor did they want me to provide it.   I believe that this is rather critical in providing mental health care.  Especially when you have had support from exceptional doctors at CHOP for the past 3 years#3 - When we were finally able to talk to our daughter after about about 48 hours, we learned that they never provided her with her medication!  This is absolutely astounding and borderline malpractice.  Worse, we verbally told them the requirements at admission and we talked to the social worker at 24 hours#4 - My daughter is terrified of needles.  She requires a sedative and plenty of emotional support to get her through the process.  Still, this is an ordeal for her.  A social worker and a physician at Belmont were told this.  It is in her records.  No of that mattered.  They drew blood with out her consent and no sedative provided#5 - It took a day for them to figure out that we dropped off clothes for her.  Those were only provided after she explicitly asked for them#6 - After 36 hours, they have decided to change her diagnosis from one that was previously established over 3 years by extremely qualified doctors at Children’s Hospital.  On top of that, they want to completely change her medications.  See points #2 and #3 above.  Again, this is extremely alarmingMany of you will read bad reviews about clinics.  You may come to the conclusion that those who write them are former patients.  The reviews may be foggy and come across as disgruntled.  In this case, I am a very alarmed parent of a girl who needs help.  I do not believe that this facility is helping herAgain, do not go there."""]
[ChZDSUhNMG9nS0VJQ0FnSURnNG9YVEh3EAE; reviewBody; "Landlords be aware. Their client did thousands in damages and they will not cover costs."]
[ChdDSUhNMG9nS0VJQ0FnSURJOC0tdmhRRRAB; reviewBody; "Buried my brother"]
[ChZDSUhNMG9nS0VJQ0FnSUR5cS1haktREAE; reviewBody; """The man who works at the front desk is great and really helpful. And the people who conduct the food pantry and STD testing are great and have really great customer service. However, I had a horrible experience with the nurse practioner at the medical clinic. Absolutely horrible. She was so uninformed about basic women's health terms and even asked the receptionist a medical question. I literally caught her in a lie. She initially told me that I tested negative for something, then I questioned her, and she admitted she didnt even test for that particular issue. HORRIBLE. I'm glad it was nothing extremely seriousShe also did not provide adquate information during my exam or when she contacted me for my results. Extremely unprofessional, rude, and harmful. When I asked about my lab results, she stated \"didn't we talk about that already during your visit.\" I was like \"well...no. I'm just hearing my lab results now and I'm asking you about those results.\" Just horribleIf you're a BW going to the medical clinic, I would recommend just avoiding the nurse practioner and ask to meet with an actual doctor. I met with a doctor here before and he was compassionate and open to listening to me. However, after my experience with the nurse, I won't ever go back here. Much love. I really didn't want to leave a review, but after my experience with that nurse, I just wanted to give ppl a headsup."""]
[ChZDSUhNMG9nS0VJQ0FnSURxdTZEWE9BEAE; reviewBody; "As a kid I went to this library all the time now I wouldnt even step foot on this property its so disgusting all the 💉 and drug addict just driving by Kensington is nasty it feels like your gonna catch something just driving having your windows down stay far away"]
[ChZDSUhNMG9nS0VJQ0FnSURNOTVqSWNREAE; reviewBody; "Staff steal from your rooms and take donations that are for clients"]
[ChZDSUhNMG9nS0VJQ0FnSURLaE8yUkp3EAE; reviewBody; """God bless the people who work hereMay the Holy spirit be with the people who stay here."""]
[ChdDSUhNMG9nS0VJQ0FnSUNRc2JqSS1RRRAB; reviewBody; "You people crack me up. The only reason you have to pay money is for the deductible of YOUR INSURANCE. Haha how can you be mad at a facility when u should be mad at your insurance. The only reason this place wouldn't work would be because said person doesn't want to help themselves. Grow up people seriously be"]
[ChZDSUhNMG9nS0VJQ0FnSURwdTh2VWNnEAE; reviewBody; "It's OK"]
[ChdDSUhNMG9nS0VJQ0FnSUNzaHNTRjJ3RRAB; reviewBody; """-DAVID FAIR - Deputy chief officer at TURNING POINTS FOR CHILDRENIS UNDER FEDERAL INVESTIGATION FOR DIVERTING TENS OF THOUSANDS OF DOLLORS , ALONGSIDE LONG TIME PARTNER RUDARD ROBINSONTHEY HAVE AQIURED A VAST AMOUNT OF REAL ESTATETHESE MEN HAVE LET PHILADELPHIA  DOWN WHEN THE CITY DEPOSIT ALL THEIR TRUST ON THESE INDIVIDUALS."""]
[ChZDSUhNMG9nS0VJQ0FnSUM4a3EzaEdBEAE; reviewBody; "It is Now November 2023, and I can say that we are back in motion with after school Leader and the teen La's to help with homework homework help, and our free after school lunch program to give kids a chance to get something in their stomachs before going home to dinner is back as well. Just come on in and see what we can help you with..."]
[ChZDSUhNMG9nS0VJQ0FnSUN3cDQtVEd3EAE; reviewBody; "The Pizza 🍕"]
[ChdDSUhNMG9nS0VJQ0FnSURrX3NIeHRRRRAB; reviewBody; "I've been going here all of my adult life! Great place with great service. Love Doctor Gross!"]
[ChdDSUhNMG9nS0VJQ0FnSUNJdm9QcnN3RRAB; reviewBody; "Was a great resource, but last time there they treated me like i had never been there before... really turned me off. Not trans friendly since Melanie left. No support, unless your gay with HIV... guess thats where the $$$ is."]
[ChZDSUhNMG9nS0VJQ0FnSUNNaDhuWkZBEAE; reviewBody; "Diversity."]
